#{"t_start": 1728372976.4312315, "env_id": "None"}
r,l,t
40.716242,34,65026.242268
36.415275,35,65033.659655
40.170139,39,65041.063805
36.725573,37,65048.398984
37.067462,39,65055.470206
38.019783,38,65063.313278
35.99275,43,65071.364177
32.790934,40,65079.379759
39.102976,37,65085.941507
37.700441,37,65092.678209
42.694876,36,65099.303814
37.51747,38,65106.039027
42.330351,41,65112.109483
41.069065,37,65119.681
45.90392,37,65126.203404
40.772307,38,65133.176385
39.207486,37,65139.698342
40.680564,32,65146.028637
36.718005,37,65153.458624
39.259398,34,65161.147124
40.363766,36,65168.444781
41.34145,41,65174.880646
40.259968,37,65182.232624
40.58258,35,65188.747771
33.290278,44,65198.9055
40.445783,43,65207.026986
37.607955,37,65214.154759
45.545804,37,65220.288619
40.285847,35,65227.239991
42.32014,37,65234.369709
42.297346,37,65241.94894
48.882493,37,65248.309406
43.30006,38,65254.506166
48.5219,35,65260.403496
37.629862,35,65266.663908
42.351801,32,65273.128771
37.527659,39,65280.068625
36.163842,38,65286.355265
34.63124,42,65294.902261
39.110784,34,65300.946856
38.835221,39,65307.483578
41.4533,43,65314.703762
36.963049,41,65322.873684
38.001965,35,65330.231874
38.365822,37,65336.477806
44.744538,35,65343.313529
37.217557,35,65350.935171
37.606184,35,65359.06128
34.608059,39,65367.285401
39.369454,36,65374.978814
45.641114,34,65381.422239
38.680178,34,65387.850866
36.540781,41,65394.174026
37.401333,33,65400.432467
46.752966,34,65406.629583
39.42152,39,65414.20851
38.161263,42,65423.035896
39.630899,37,65429.614747
43.294819,35,65436.183845
46.994649,34,65442.680786
40.269707,40,65450.705232
41.605982,34,65457.149533
35.610272,45,65466.78913
12.646104,43,65476.223781
42.643026,37,65483.54448
42.982295,37,65490.021561
37.129336,32,65496.491512
44.083502,33,65502.540077
40.921709,39,65509.437575
37.610883,37,65516.220763
26.530532,38,65524.56275
39.23757,37,65531.657908
41.30028,38,65539.627327
39.842419,34,65545.469853
39.367223,32,65552.399113
42.136531,36,65558.992612
43.130069,38,65565.840956
36.053541,38,65573.239871
50.94257,38,65579.601659
42.306803,33,65585.413854
36.761398,40,65593.312556
33.542062,37,65600.733926
33.312365,35,65607.890155
40.417644,38,65614.389609
